THOMAS MILTON        202-113-5748
MEJIA BERT        864-800-1614
ROMERO GAIL        583-233-2525
CARPENTER AMALIA        759-875-5498
GILL ALYCE        885-523-9508
MELENDEZ WELDON        573-373-7129
CRANE JAN        311-462-1428
DOTSON AMALIA        584-920-1770
WEST ROSA        537-833-2992
BAXTER DENIS        211-224-2341
BULLOCK JANIE        386-523-8265
BRIDGES FOREST        623-493-8796
MCCARTHY FIDEL        583-750-7957
TRAN BETTIE        710-337-7733
REESE ALYSON        456-354-9670
FOX DAMION        617-224-1783
HILL DARREL        686-702-7064
GLENN KARA        719-129-7601
TRAN FELICIA        285-914-1098
MUELLER SAM        586-890-1076
FULTON MERVIN        604-304-7596
MOSS LADONNA        601-976-6488
MOORE LYNNE        283-154-6491
GARCIA DAMION        689-508-1540
POTTS JARED        260-997-6760
KEY CARA        913-601-8686
RUIZ LESLEY        421-537-8594
ACEVEDO AURELIO        593-149-3903
WEAVER LIZZIE        824-356-7362
EVERETT ROSCOE        430-305-5327
GROSS SEBASTIAN        626-154-3452
RIOS MADGE        783-342-1637
MCBRIDE TAMERA        310-198-8121
BALLARD LILLY        396-967-4975
SPEARS CONNIE        351-570-2398
PITTS FLOYD        646-652-8446
WATERS DOMINIC        845-551-5146
MARSH BERTHA        932-887-8800
GARZA EDMUND        227-608-8498
BRAY MARGARITA        529-363-5416
MERCADO TIA        749-431-2579
ALSTON WILMER        677-377-7681
HOWE FOREST        584-806-4564
LEVINE RODNEY        394-378-9512
GUERRA IVORY        299-454-6847
MATHIS ANNABELLE        764-644-6496
MCFARLAND JAMAAL        948-891-3496
DAWSON MIRANDA        904-386-3439
HARVEY GERALDINE        470-542-1038
STEVENS VALARIE        301-295-1045
ELLIOTT CLEO        577-209-8152
HIGGINS NEWTON        688-129-4517
BATES ROSLYN        230-909-5162
ALBERT EDWARDO        228-986-5799
COLE NOEL        556-391-3237
HART DORA        453-520-3519
DAVENPORT CARLO        679-115-3770
BAXTER DANNIE        591-238-2136
HARDING MILLARD        476-698-5026
ENGLAND NITA        323-430-6393
HEAD CALEB        525-228-4995
BLAIR DENISE        862-218-9826
MACIAS AGNES        662-858-3385
HERRERA ESTEBAN        658-390-7987
DUNLAP GLENDA        487-870-1313
EWING LAVERNE        395-370-1942
GRAHAM LOURDES        762-639-5252
TRAVIS ODESSA        341-357-8940
LEONARD ANGIE        313-720-4706
ADKINS VANCE        978-845-2781
SHAW JERROLD        710-836-9167
JOHNS LUELLA        363-512-4319
CONWAY JOANNE        254-958-3454
MALDONADO BELINDA        240-574-4796
CRAIG SHANE        256-629-5019
LOGAN DEVON        597-263-5757
NICHOLS MELISA        428-193-5171
CALDWELL JEREMY        892-352-6533
MOSS WILBERT        324-393-9661
WOOTEN JIM        956-251-9264
HAMILTON BRIDGET        558-324-6315
UNDERWOOD FREDDY        457-674-8395
DELGADO REED        643-562-8792
BENNETT EMERSON        437-721-5550
RIVERS DENNIS        833-724-8902
PHELPS AMBER        940-155-9343
JUAREZ JASON        390-711-2319
BATES LOYD        785-721-8253
ROSE ESTER        745-503-1373
GOODWIN NOLA        712-364-4718
HEATH LIONEL        798-991-4424
HUTCHINSON FORREST        400-788-2462
FERGUSON MARIETTA        864-181-3196
FREDERICK EMORY        617-228-2888
ROBERTS ALISSA        896-526-6847
SHEPPARD WILLIE        803-977-8057
SAMPSON MOLLY        206-568-2104
GRIFFITH WILLIE        662-745-6038
STEPHENSON NOELLE        607-397-1196
GLENN ELISEO        827-249-4901
SKINNER DANA        758-618-4429
ROWLAND JACKLYN        716-269-3532
PRICE BELINDA        578-618-3800
HUFF BEAU        353-961-3508
SAVAGE HERMINIA        246-333-9745
LANG EMANUEL        437-511-6989
COMBS JOCELYN        785-245-6178
WILCOX CANDICE        527-963-5373
BURGESS RUTH        508-120-6349
HORN KIMBERLY        638-600-1761
FOSTER ISIAH        360-657-8123
DRAKE SHERI        956-541-5463
COOPER ELBA        401-902-3399
SULLIVAN MARYELLEN        358-152-7181
ALSTON AMOS        660-802-6973
BEST JUSTIN        868-811-5859
CLARKE KRYSTAL        755-778-5251
BOYD ETTA        801-739-1111
ROBERTSON HILLARY        275-507-6597
ERICKSON EARLINE        885-527-1222
WEBB MERLE        609-400-7472
FOSTER JAYNE        383-692-1344
WILSON WALLACE        896-607-9801
JUAREZ LEONEL        577-557-7483
WILLIAM RUDY        890-799-8587
OSBORNE MICHELE        646-925-8624
POTTER ISABEL        450-813-5453
GAMBLE DIXIE        858-365-8170
WHITE EVANGELINA        781-536-7150
PERKINS LILIA        271-122-5205
AGUILAR BRITNEY        804-365-4978
HULL CARLENE        354-449-3447
SUAREZ COLIN        503-526-6599
HOGAN NATASHA        255-355-3957
CLAY BRIGITTE        858-930-6534
SANTOS SAUL        715-582-3626
ONEAL ROSA        546-812-3235
BOOTH EBONY        673-646-5443
MCDANIEL BERNARD        241-280-9155
MENDEZ JODY        737-487-3592
CLEMENTS ROSE        718-249-2084
FROST MONROE        225-431-3638
MADDEN DELMER        812-778-4186
CHERRY EMIL        716-959-7642
LEBLANC GARRY        940-350-3378
CHRISTENSEN SCOTTIE        919-739-2004
PARKER ELSA        693-779-3244
MCFADDEN ROSCOE        387-347-3380
BARBER ISABEL        288-811-9425
BIRD NOLAN        678-687-8788
VELEZ ANDRES        966-866-8577
HARRINGTON DARLA        464-979-7871
PECK CALLIE        489-341-1306
DRAKE JOSH        819-815-6887
FRANCO JAN        322-877-5687
MORRISON JOY        295-106-3632
MORGAN ROXANNE        824-488-8481
RIVERS RAQUEL        859-348-3647
COLE SANG        658-277-5402
LANCASTER AILEEN        320-483-5598
RODRIGUEZ MELODY        742-256-9219
NORTON ROSALYN        472-466-1135
SOSA ARNULFO        551-133-9738
STEVENS JEAN        770-633-6011
GARDNER JUSTIN        693-534-9847
SAWYER HAL        447-531-7728
STEVENSON TORY        536-472-7861
MATHIS VICTOR        729-933-6569
HARTMAN JEAN        904-952-8131
KIRK IMOGENE        204-228-8245
GLOVER HELENE        501-462-5596
MORTON TOMMY        970-878-9960
CRAWFORD ROXANNE        264-899-7458
SOLIS QUINTON        902-286-7231
POOLE LUPE        602-149-8534
MATHIS VICKY        564-383-7427
AUSTIN MOHAMED        369-222-4368
ALVARADO EVAN        224-439-5602
BAXTER LYDIA        818-168-3635
KEITH KEN        901-877-5620
RHODES WENDI        730-232-3309
MOLINA EDMOND        627-388-4411
BENSON IRWIN        429-270-1102
NORTON MICAH        506-581-2299
BRYANT ELWOOD        342-871-3991
MATHEWS JAY        387-474-3628
DONALDSON HALLIE        647-403-7661
MCMAHON EMMA        487-983-1200
ALVARADO ALDO        568-643-2489
MALDONADO VIRGIE        697-830-5132
REID VIOLA        703-169-1053
RICHARDS DON        438-851-6415
VELAZQUEZ CHRISTIAN        962-636-8339
SNYDER ETHEL        812-958-7440
LAMB WAYNE        541-491-4920
BEST ROLANDO        358-712-8249
SWANSON LOLITA        489-996-1470
VALENZUELA LILA        824-407-8634
HUNT ARIEL        904-163-5301
MCLAUGHLIN VICKIE        654-710-1595
ENGLISH MARCIA        523-319-4287
DONOVAN VERONICA        725-612-5630
ROBERSON SOPHIA        842-495-8672
GONZALEZ ETHAN        632-638-3431
FORBES DWIGHT        649-325-6924
SERRANO SADIE        520-385-6677
CLEMENTS LYMAN        409-176-3224
CONTRERAS ALBERT        595-589-1933
MERCADO HARRISON        649-616-2248
HOUSE BOBBIE        886-289-3504
WEBB JERRY        247-655-9463
MIDDLETON ANTWAN        251-704-1538
JOHNSTON TAYLOR        336-206-8066
HOWARD JOESPH        471-612-1776
ORR TOBY        760-136-8884
MILES OLGA        327-837-1176
WEBB ETTA        720-197-4284
DICKSON MAYRA        311-413-9652
ROBERTSON MELBA        824-221-1694
MACIAS MARLA        653-406-7844
MOSS VONDA        541-568-5752
WADE GALE        267-598-8052
POLLARD ILA        763-624-4226
MACIAS SAMMY        328-287-6961
CERVANTES DONA        630-285-3019
KELLER JULIANNE        691-699-2156
GONZALEZ PATRICA        255-620-8841
KENNEDY NORMAND        343-247-1251
MCNEIL HERMAN        780-280-1234
KNOX TODD        761-769-2447
k0  0 k1 452
start 0 end 452
 main execution 
hellend 
at 304 and 452
pivindex UNDERWOOD FREDDY        457-674-8395 and end is KNOX TODD        761-769-2447
info WEAVER ROWENA        530-184-8294 swapped w/ MCNEIL HERMAN        780-280-1234
joe
 inc is 6 dec 450
info WILCOX DENIS        961-597-5825 swapped w/ KENNEDY NORMAND        343-247-1251
joe
 inc is 10 dec 449
info WEISS LILY        295-485-3110 swapped w/ GONZALEZ PATRICA        255-620-8841
joe
 inc is 11 dec 448
info WOLF HAL        390-520-2904 swapped w/ KELLER JULIANNE        691-699-2156
joe
 inc is 30 dec 447
info WOOD ALANA        597-252-2299 swapped w/ CERVANTES DONA        630-285-3019
joe
 inc is 31 dec 446
info WATSON ERNA        544-334-3590 swapped w/ MACIAS SAMMY        328-287-6961
joe
 inc is 35 dec 445
info WYNN JEFFRY        220-500-8617 swapped w/ POLLARD ILA        763-624-4226
joe
 inc is 47 dec 444
info WIGGINS TOMAS        430-373-2662 swapped w/ MOSS VONDA        541-568-5752
joe
 inc is 52 dec 442
info WILKINSON SAMUEL        964-948-1902 swapped w/ MACIAS MARLA        653-406-7844
joe
 inc is 100 dec 441
info VARGAS AURORA        886-588-8132 swapped w/ ROBERTSON MELBA        824-221-1694
joe
 inc is 101 dec 440
info WITT DAPHNE        907-233-2571 swapped w/ DICKSON MAYRA        311-413-9652
joe
 inc is 114 dec 439
info VALENCIA ANGELITA        603-380-9900 swapped w/ MILES OLGA        327-837-1176
joe
 inc is 135 dec 437
info WALTERS ALFONZO        576-383-7528 swapped w/ ORR TOBY        760-136-8884
joe
 inc is 150 dec 436
info VALENZUELA EMERY        583-801-9431 swapped w/ HOWARD JOESPH        471-612-1776
joe
 inc is 173 dec 435
info WALSH CARMEN        972-381-8862 swapped w/ JOHNSTON TAYLOR        336-206-8066
joe
 inc is 178 dec 434
info VALENTINE JO        245-498-8581 swapped w/ MIDDLETON ANTWAN        251-704-1538
joe
 inc is 181 dec 433
info YORK ELIZA        761-274-3247 swapped w/ HOUSE BOBBIE        886-289-3504
joe
 inc is 190 dec 431
info WEST ROSA        537-833-2992 swapped w/ MERCADO HARRISON        649-616-2248
joe
 inc is 232 dec 430
info WEAVER LIZZIE        824-356-7362 swapped w/ CONTRERAS ALBERT        595-589-1933
joe
 inc is 252 dec 429
info WATERS DOMINIC        845-551-5146 swapped w/ CLEMENTS LYMAN        409-176-3224
joe
 inc is 260 dec 428
info WOOTEN JIM        956-251-9264 swapped w/ SERRANO SADIE        520-385-6677
joe
 inc is 303 dec 427
info WILCOX CANDICE        527-963-5373 swapped w/ FORBES DWIGHT        649-325-6924
joe
 inc is 331 dec 426
info WEBB MERLE        609-400-7472 swapped w/ GONZALEZ ETHAN        632-638-3431
joe
 inc is 344 dec 425
info WILSON WALLACE        896-607-9801 swapped w/ ROBERSON SOPHIA        842-495-8672
joe
 inc is 346 dec 424
info WILLIAM RUDY        890-799-8587 swapped w/ DONOVAN VERONICA        725-612-5630
joe
 inc is 348 dec 423
info WHITE EVANGELINA        781-536-7150 swapped w/ ENGLISH MARCIA        523-319-4287
joe
 inc is 352 dec 422
info VELEZ ANDRES        966-866-8577 swapped w/ MCLAUGHLIN VICKIE        654-710-1595
joe
 inc is 374 dec 421
info VELAZQUEZ CHRISTIAN        962-636-8339 swapped w/ HUNT ARIEL        904-163-5301
joe
 inc is 416 dec 420
 inc is 420 dec 419
start 0 end 419
 main execution 
hellend 
at 321 and 419
pivindex STEPHENSON NOELLE        607-397-1196 and end is SWANSON LOLITA        489-996-1470
info THOMAS MILTON        202-113-5748 swapped w/ BEST ROLANDO        358-712-8249
joe
 inc is 1 dec 417
info TRUJILLO DYLAN        588-907-6268 swapped w/ LAMB WAYNE        541-491-4920
joe
 inc is 12 dec 416
info TANNER MAUDE        426-957-8266 swapped w/ SNYDER ETHEL        812-958-7440
joe
 inc is 39 dec 415
info STUART RUSTY        638-200-1795 swapped w/ HUNT ARIEL        904-163-5301
joe
 inc is 41 dec 414
info TERRY REBA        608-107-5290 swapped w/ RICHARDS DON        438-851-6415
joe
 inc is 71 dec 413
info TATE PANSY        236-759-5757 swapped w/ REID VIOLA        703-169-1053
joe
 inc is 81 dec 412
info SWANSON IAN        385-782-2029 swapped w/ MALDONADO VIRGIE        697-830-5132
joe
 inc is 124 dec 411
info TAYLOR SHAWN        900-503-4129 swapped w/ ALVARADO ALDO        568-643-2489
joe
 inc is 151 dec 410
info TALLEY CLAY        938-574-3857 swapped w/ MCMAHON EMMA        487-983-1200
joe
 inc is 152 dec 409
info STOKES JESSE        607-720-5400 swapped w/ DONALDSON HALLIE        647-403-7661
joe
 inc is 179 dec 408
info TRAN BETTIE        710-337-7733 swapped w/ MATHEWS JAY        387-474-3628
joe
 inc is 237 dec 407
info TRAN FELICIA        285-914-1098 swapped w/ BRYANT ELWOOD        342-871-3991
joe
 inc is 242 dec 406
info STEVENS VALARIE        301-295-1045 swapped w/ NORTON MICAH        506-581-2299
joe
 inc is 273 dec 405
info TRAVIS ODESSA        341-357-8940 swapped w/ BENSON IRWIN        429-270-1102
joe
 inc is 291 dec 404
info SWANSON LOLITA        489-996-1470 swapped w/ MOLINA EDMOND        627-388-4411
joe
 inc is 322 dec 403
info SULLIVAN MARYELLEN        358-152-7181 swapped w/ RHODES WENDI        730-232-3309
joe
 inc is 337 dec 402
info SUAREZ COLIN        503-526-6599 swapped w/ KEITH KEN        901-877-5620
joe
 inc is 356 dec 401
info STEVENS JEAN        770-633-6011 swapped w/ BAXTER LYDIA        818-168-3635
joe
 inc is 387 dec 400
info STEVENSON TORY        536-472-7861 swapped w/ ALVARADO EVAN        224-439-5602
joe
 inc is 390 dec 399
 inc is 400 dec 399
start 0 end 399
 main execution 
hellend 
at 346 and 399
pivindex JUAREZ LEONEL        577-557-7483 and end is AUSTIN MOHAMED        369-222-4368
info SHORT LELIA        301-786-6603 swapped w/ CRAWFORD ROXANNE        264-899-7458
joe
 inc is 3 dec 394
info MCNEIL HERMAN        780-280-1234 swapped w/ GLOVER HELENE        501-462-5596
joe
 inc is 6 dec 392
info ROWLAND ROBBY        621-406-6482 swapped w/ HARTMAN JEAN        904-952-8131
joe
 inc is 8 dec 390
info KENNEDY NORMAND        343-247-1251 swapped w/ ALVARADO EVAN        224-439-5602
joe
 inc is 10 dec 388
info LAMB WAYNE        541-491-4920 swapped w/ GARDNER JUSTIN        693-534-9847
joe
 inc is 12 dec 386
info POOLE KATHERYN        770-835-8703 swapped w/ BAXTER LYDIA        818-168-3635
joe
 inc is 13 dec 385
info SEARS LAWRENCE        704-260-4673 swapped w/ COLE SANG        658-277-5402
joe
 inc is 16 dec 380
info MORIN ISABELLE        492-968-9949 swapped w/ FRANCO JAN        322-877-5687
joe
 inc is 17 dec 376
info PATRICK JACQUELYN        649-842-6234 swapped w/ DRAKE JOSH        819-815-6887
joe
 inc is 18 dec 375
info SCHROEDER SHIRLEY        259-373-3452 swapped w/ HARRINGTON DARLA        464-979-7871
joe
 inc is 19 dec 373
info SCHULTZ EMILIO        962-570-6293 swapped w/ BIRD NOLAN        678-687-8788
joe
 inc is 22 dec 371
info ROBERSON WAYNE        589-979-5370 swapped w/ BARBER ISABEL        288-811-9425
joe
 inc is 23 dec 370
info LOTT LILIANA        243-281-7498 swapped w/ CHRISTENSEN SCOTTIE        919-739-2004
joe
 inc is 26 dec 367
info KELLER JULIANNE        691-699-2156 swapped w/ CHERRY EMIL        716-959-7642
joe
 inc is 30 dec 365
info MACIAS SAMMY        328-287-6961 swapped w/ FROST MONROE        225-431-3638
joe
 inc is 35 dec 363
info SNYDER ETHEL        812-958-7440 swapped w/ CLEMENTS ROSE        718-249-2084
joe
 inc is 39 dec 362
info MERRILL DENIS        807-925-4019 swapped w/ BOOTH EBONY        673-646-5443
joe
 inc is 40 dec 359
info PRICE ANTONIA        968-316-2886 swapped w/ CLAY BRIGITTE        858-930-6534
joe
 inc is 42 dec 356
info MCCALL MICAH        611-414-9545 swapped w/ HOGAN NATASHA        255-355-3957
joe
 inc is 43 dec 355
info POLLARD ILA        763-624-4226 swapped w/ HULL CARLENE        354-449-3447
joe
 inc is 47 dec 353
info MARKS OLIVE        688-889-8964 swapped w/ AGUILAR BRITNEY        804-365-4978
joe
 inc is 48 dec 352
info MEDINA KARIN        282-828-8320 swapped w/ ENGLISH MARCIA        523-319-4287
joe
 inc is 49 dec 350
info NEWMAN MAI        850-647-4200 swapped w/ GAMBLE DIXIE        858-365-8170
joe
 inc is 51 dec 349
info MOSS VONDA        541-568-5752 swapped w/ DONOVAN VERONICA        725-612-5630
joe
 inc is 52 dec 346
info MANNING LETICIA        937-297-9810 swapped w/ AUSTIN MOHAMED        369-222-4368
joe
 inc is 53 dec 345
info LANE CASSIE        262-565-3323 swapped w/ FOSTER JAYNE        383-692-1344
joe
 inc is 54 dec 343
info ROBBINS FOREST        935-893-7997 swapped w/ GONZALEZ ETHAN        632-638-3431
joe
 inc is 55 dec 342
info MOLINA VALENTIN        846-788-8911 swapped w/ ERICKSON EARLINE        885-527-1222
joe
 inc is 57 dec 341
info KEITH CARISSA        821-352-7955 swapped w/ BOYD ETTA        801-739-1111
joe
 inc is 59 dec 339
info SKINNER THANH        324-151-7069 swapped w/ CLARKE KRYSTAL        755-778-5251
joe
 inc is 60 dec 338
info SEARS CARLENE        617-648-3152 swapped w/ BEST JUSTIN        868-811-5859
joe
 inc is 62 dec 337
info SIMPSON BENNY        789-927-6993 swapped w/ ALSTON AMOS        660-802-6973
joe
 inc is 65 dec 336
info MALONE NATALIE        345-210-9700 swapped w/ COOPER ELBA        401-902-3399
joe
 inc is 70 dec 334
info RICHARDS DON        438-851-6415 swapped w/ DRAKE SHERI        956-541-5463
joe
 inc is 71 dec 333
info MOSS BRADLEY        590-161-1011 swapped w/ FOSTER ISIAH        360-657-8123
joe
 inc is 76 dec 332
info LESTER DONA        334-356-3342 swapped w/ HORN KIMBERLY        638-600-1761
joe
 inc is 77 dec 331
info ORR REFUGIO        857-778-4960 swapped w/ BURGESS RUTH        508-120-6349
joe
 inc is 79 dec 330
info REID VIOLA        703-169-1053 swapped w/ FORBES DWIGHT        649-325-6924
joe
 inc is 81 dec 329
info NELSON LEONARD        660-421-1958 swapped w/ COMBS JOCELYN        785-245-6178
joe
 inc is 84 dec 328
info MANN NADINE        581-775-4365 swapped w/ HUFF BEAU        353-961-3508
joe
 inc is 85 dec 325
info SCHULTZ HERSHEL        284-493-9741 swapped w/ GLENN ELISEO        827-249-4901
joe
 inc is 90 dec 321
info RAY TRINIDAD        812-852-6611 swapped w/ GRIFFITH WILLIE        662-745-6038
joe
 inc is 93 dec 319
info ONEAL DAVID        609-750-1857 swapped w/ FREDERICK EMORY        617-228-2888
joe
 inc is 95 dec 315
info SHAW CLAUDIA        463-956-7879 swapped w/ FERGUSON MARIETTA        864-181-3196
joe
 inc is 96 dec 314
info ROBERSON CRAIG        646-987-9430 swapped w/ HUTCHINSON FORREST        400-788-2462
joe
 inc is 98 dec 313
info MACIAS MARLA        653-406-7844 swapped w/ HEATH LIONEL        798-991-4424
joe
 inc is 100 dec 312
info ROBERTSON MELBA        824-221-1694 swapped w/ GOODWIN NOLA        712-364-4718
joe
 inc is 101 dec 311
info SALAS STERLING        586-806-8783 swapped w/ BATES LOYD        785-721-8253
joe
 inc is 103 dec 309
info LEBLANC MIA        542-581-2683 swapped w/ JUAREZ JASON        390-711-2319
joe
 inc is 104 dec 308
info SHORT ALLISON        339-917-5221 swapped w/ BENNETT EMERSON        437-721-5550
joe
 inc is 105 dec 305
info POWELL ARACELI        964-931-2960 swapped w/ DELGADO REED        643-562-8792
joe
 inc is 108 dec 304
info ROSS DANA        943-520-6462 swapped w/ HAMILTON BRIDGET        558-324-6315
joe
 inc is 109 dec 302
