ACEVEDO AURELIO     593-149-3903
SWANSON LOLITA      489-996-1470
VALENZUELA LILA     824-407-8634
WATSON ERNA         544-334-3590
MCLAUGHLIN VICKIE   654-710-1595
WOOD ALANA          597-252-2299
WOLF HAL            390-520-2904
ROBERSON SOPHIA     842-495-8672
ROBERSON WAYNE      589-979-5370
SCHULTZ EMILIO      962-570-6293
SERRANO SADIE       520-385-6677
SCHROEDER SHIRLEY   259-373-3452
PATRICK JACQUELYN   649-842-6234
MERCADO HARRISON    649-616-2248
MORIN ISABELLE      492-968-9949
WEBB JERRY          247-655-9463
MIDDLETON ANTWAN    251-704-1538
SEARS LAWRENCE      704-260-4673
POOLE KATHERYN      770-835-8703
ORR TOBY            760-136-8884
MILES OLGA          327-837-1176
WEBB ETTA           720-197-4284
TRUJILLO DYLAN      588-907-6268
ROBERTSON MELBA     824-221-1694
WEISS LILY          295-485-3110
MOSS VONDA          541-568-5752
WADE GALE           267-598-8052
POLLARD ILA         763-624-4226
WILCOX DENIS        961-597-5825
ROWLAND ROBBY       621-406-6482
WEAVER ROWENA       530-184-8294
SHORT LELIA         301-786-6603
THOMAS MILTON       202-113-5748
MCNEIL HERMAN       780-280-1234
HORN KIMBERLY       638-600-1761
